,keyword,score
0,companies,0.27074208477542794
1,company,0.27074208477542794
2,news,0.2596104659050449
4,operate,0.22281829126525518
5,operational,0.22281829126525518
6,operation,0.22281829126525518
3,operating,0.22281829126525518
7,digital,0.21669848932617214
8,digitization,0.21669848932617214
9,digitally,0.21669848932617214
10,customers,0.18896304394417304
11,customer,0.18896304394417304
12,customization,0.18896304394417304
14,businesses,0.15659571533908523
13,business,0.15659571533908523
15,model,0.15402464963787807
16,modeling,0.15402464963787807
17,new remote sales models,0.14683136536466865
18,terms digitizing,0.13536913955931937
19,operations rethinking,0.13252737160587924
20,covid,0.11967196408423887
21,changed,0.10838407494442144
22,changes,0.10838407494442144
23,change,0.10838407494442144
26,experience,0.10836761836624327
25,experiment,0.10836761836624327
24,experiences,0.10836761836624327
27,team,0.10371247845876293
28,create,0.10198010040830296
29,revenue,0.09951434253115922
30,revenues,0.09951434253115922
31,leaders,0.09899666856270148
32,crisis,0.09690925438600997
33,cost,0.09317173081504351
34,costs,0.09317173081504351
35,agile teams,0.09256997344993464
39,accelerate,0.09169270237084273
38,accelerated,0.09169270237084273
37,acceleration,0.09169270237084273
36,accelerating,0.09169270237084273
40,value,0.09163104525006535
41,management,0.08790205973748513
42,manage,0.08790205973748513
43,managing,0.08790205973748513
44,creating flexible,0.08739763349199987
45,quickly,0.08656010016797498
46,work,0.08359811605305231
47,worked,0.08359811605305231
48,mean changing,0.08339914856802345
52,developed,0.08323602329376947
51,development,0.08323602329376947
50,developing,0.08323602329376947
49,develop,0.08323602329376947
55,enabling,0.08225311768862781
53,enabled,0.08225311768862781
54,enable,0.08225311768862781
56,sources,0.08158582865796107
57,source,0.08158582865796107
58,sourcing,0.08158582865796107
59,decisions,0.07619569493528766
60,decision,0.07619569493528766
61,role,0.07525571397191283
62,flexibility,0.07281516657569678
63,spend,0.07093571245262308
64,data,0.0704739138277162
65,global,0.06872935284479917
66,advantage,0.06760660639099295
67,demand,0.0661399899495917
68,ceo,0.06597189280162177
69,organization,0.06501956474440286
70,organizations,0.06501956474440286
71,organizing,0.06501956474440286
72,organize,0.06501956474440286
73,increased,0.06401621606435334
74,increasing,0.06401621606435334
75,increase,0.06401621606435334
78,requires,0.06374385733097608
76,required,0.06374385733097608
77,require,0.06374385733097608
79,remotely,0.06263259773355438
80,use,0.062495486097277134
81,successful,0.06208459362912445
82,success,0.06208459362912445
83,include,0.06183020460024504
84,including,0.06183020460024504
85,includes,0.06183020460024504
86,encourage agility,0.060578111431926346
87,recovery,0.05984897898070537
90,comes,0.05970755239570344
89,coming,0.05970755239570344
88,come,0.05970755239570344
91,end,0.05903044439252939
92,means,0.05841422219162546
93,brazilian,0.05828318261162099
94,adaptability,0.057256842278098324
95,adapted,0.057256842278098324
96,adaptation,0.057256842278098324
97,adapting,0.057256842278098324
98,adapt,0.057256842278098324
99,car,0.05703972674586552
100,cars,0.05703972674586552
101,leadership,0.056328028803685065
102,roles personal,0.05628494101512113
103,driven,0.05564784650445718
104,reallocating spending,0.055046267969632676
105,term,0.054039789792466604
106,fast,0.053776507455429105
107,growth,0.05265790900032
108,processes,0.051949378160817794
109,process,0.051949378160817794
110,rapidly,0.051867903375658664
111,capital,0.05164829689701756
112,early,0.0499208721805895
113,office,0.049212349261502294
115,technology,0.04873183654368869
114,technologies,0.04873183654368869
116,consumer,0.048226600859481675
117,consumers,0.048226600859481675
118,products,0.04784212973032934
119,productivity,0.04784212973032934
120,product,0.04784212973032934
121,time,0.0477873555427114
122,tech,0.04756221412121837
123,mckinsey,0.04737203355927575
124,challenges,0.0470963868196355
125,challenge,0.0470963868196355
128,servicing,0.04704765359859336
127,service,0.04704765359859336
126,services,0.04704765359859336
129,perform,0.04564545680901799
130,performance,0.04564545680901799
131,rapid reallocation,0.04553742118220948
132,external,0.045456699148658214
133,reimagining,0.04544474642644264
134,reimagination,0.04544474642644264
135,reimagine,0.04544474642644264
136,prioritize,0.04514756631751199
137,prioritized,0.04514756631751199
138,based,0.044962375400483735
139,base,0.044962375400483735
140,minute,0.04476480811591962
141,employees,0.04445640771679441
142,employee,0.04445640771679441
143,consider,0.044347594816984116
144,considering,0.044347594816984116
145,coronavirus,0.04432992384925903
146,comfortable,0.04432805438066972
147,corporate,0.0443280543806695
148,social,0.04432805438066946
149,old,0.044328054380669425
150,widely,0.044328054380669404
151,wide,0.044328054380669404
152,provides,0.044328054380669356
153,transactional,0.044328054380669266
154,transactions,0.044328054380669266
155,ones,0.044328054380669155
156,panic,0.044328054380669044
157,nimble,0.044106472463538576
158,targeted,0.04379859099737358
159,exhibit,0.043069215385348567
160,channels,0.043030146805344935
161,greater,0.043005428256994306
162,resilience,0.04252702371676688
163,resilient,0.04252702371676688
164,strategic,0.04224032128406974
165,delivery,0.04192748014501351
166,brazil,0.041905743875118875
167,structure,0.04131621421828289
168,structures,0.04131621421828289
169,world,0.04111180601825149
170,competition,0.04101185774929238
171,competitive,0.04101185774929238
172,tools,0.04064564342260854
173,fundamentally rethink,0.04021343567903564
174,way,0.04002827645366393
175,ways,0.04002827645366393
178,industries,0.039982968226539246
177,industry,0.039982968226539246
176,industrial,0.039982968226539246
179,dramatic,0.039569920367513306
180,player,0.03943151815928305
181,images,0.039431518159282856
182,pele,0.039431518159282856
183,imaging,0.039431518159282856
184,solve,0.039431518159282725
185,solving,0.039431518159282725
186,scale,0.03943151815928261
187,important,0.039350792946964766
188,making,0.03935079294696471
189,low,0.03847573562211809
190,tasks,0.03840467258832475
191,fundamental,0.038190419411568
192,partners,0.03814670772023528
193,partner,0.03814670772023528
194,innovation,0.03790556571344636
195,innovators,0.03790556571344636
196,related,0.037522325265344575
197,relate,0.037522325265344575
198,adjusting,0.03735049026519367
199,step,0.03735049026519366
200,steps,0.03735049026519366
201,personalization,0.037314168058329426
